original_line,game_name,custom_name,bgg_link,bgg_id,name,year,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,bgg_rank,bgg_rating,bgg_average,bgg_users_rated,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank,status,confidence,image_filename,min_players,max_players,best_player_count,recommended_player_count,playing_time,complexity_weight,mechanics,categories
https://boardgamegeek.com/boardgame/372433/quickity-pickity # Quickity Pickity,Quickity Pickity,Quickity Pickity,https://boardgamegeek.com/boardgame/372433/quickity-pickity,372433,Quickity Pickity,2022,2022,8729,5.60739,6.61937,271,0,8729,,,,,,,,,,,,Found from URL,High,Quickity Pickity_2022_372433.png,2,5,,,20 min,1.0,Real-Time; Set Collection; Simultaneous Action Selection; Sudden Death Ending; Tile Placement,Action / Dexterity
https://boardgamegeek.com/boardgame/423270/moving-wild # Moving Wild,Moving Wild,Moving Wild,https://boardgamegeek.com/boardgame/423270/moving-wild,423270,Moving Wild,2024,2024,3944,5.86967,6.94833,780,0,3944,,,,,,,,,,,,Found from URL,High,Moving Wild_2024_423270.png,1,6,,"1, 2, 3, 4, 5, 6",15-30 min,2.0,Closed Drafting; Hand Management; Melding and Splaying; Set Collection,Animals; Card Game
https://boardgamegeek.com/boardgame/405538/rafter-five # Ohne Floß nix los,Ohne Floß nix los,Ohne Floß nix los,https://boardgamegeek.com/boardgame/405538/rafter-five,405538,Rafter Five,2023,2023,4541,5.80727,6.73419,777,0,4541,,,,,,,,,,,,Found from URL,High,Rafter Five_2023_405538.png,1,6,4,"2, 3",20 min,1.08,Layering; Player Elimination; Single Loser Game; Stacking and Balancing,Action / Dexterity
https://boardgamegeek.com/boardgame/135779/a-fake-artist-goes-to-new-york # A Fake Artist Goes to New York,A Fake Artist Goes to New York,A Fake Artist Goes to New York,https://boardgamegeek.com/boardgame/135779/a-fake-artist-goes-to-new-york,135779,A Fake Artist Goes to New York,2011,2011,735,6.80109,7.11658,9966,0,735,,,,,,,,40.0,,,,Found from URL,High,A Fake Artist Goes to New York_2011_135779.png,5,10,"6, 7","5, 8, 9",20 min,1.1,Hidden Roles; Line Drawing; Targeted Clues,Bluffing; Deduction; Party Game
https://boardgamegeek.com/boardgame/256479/tomatomato # TomaTomato,TomaTomato,TomaTomato,https://boardgamegeek.com/boardgame/256479/tomatomato,256479,TomaTomato,2018,2018,27216,5.48444,5.37528,216,0,27216,,,,,,,,,,,,Found from URL,High,TomaTomato_2018_256479.png,3,6,,,20 min,1.0,Set Collection,Card Game; Party Game
https://boardgamegeek.com/boardgame/324467/hey-yo # Hey Yo,Hey Yo,Hey Yo,https://boardgamegeek.com/boardgame/324467/hey-yo,324467,Hey Yo,2020,2020,7906,5.62739,6.32085,419,0,7906,,,,,,,,,,,,Found from URL,High,Hey Yo_2020_324467.png,2,10,,,15 min,1.22,Cooperative Game; Hand Management; Pattern Building; Real-Time; Team-Based Game,Card Game; Electronic; Music
https://boardgamegeek.com/boardgame/223770/startups # Startups,Startups,Startups,https://boardgamegeek.com/boardgame/223770/startups,223770,Startups,2017,2017,885,6.70644,7.18996,5974,0,885,,,,,,,226.0,,,,,Found from URL,High,Startups_2017_223770.png,3,7,4,"3, 5",20 min,1.59,Area Majority / Influence; Hot Potato; Increase Value of Unchosen Resources; Investment; Score-and-Reset Game,Card Game; Economic
https://boardgamegeek.com/boardgame/206051/insider # Insider,Insider,Insider,https://boardgamegeek.com/boardgame/206051/insider,206051,Insider,2016,2016,1221,6.52703,7.03045,4821,0,1221,,,,,,,,61.0,,,,Found from URL,High,Insider_2016_206051.jpg,4,8,"5, 6","7, 8",15 min,1.11,Hidden Roles; Roles with Asymmetric Information; Team-Based Game; Voting,Bluffing; Deduction; Party Game
https://boardgamegeek.com/boardgame/70323/king-of-tokyo # King of Tokyo,King of Tokyo,King of Tokyo,https://boardgamegeek.com/boardgame/70323/king-of-tokyo,70323,King of Tokyo,2011,2011,471,7.01514,7.11997,74323,0,471,,,,,,,137.0,,,,,Found from URL,High,King of Tokyo_2011_70323.jpg,2,6,"4, 5","3, 6",30 min,1.49,Dice Rolling; Die Icon Resolution; King of the Hill; Open Drafting; Player Elimination,Dice; Fighting; Movies / TV / Radio theme
https://boardgamegeek.com/boardgame/240822/troika # Troika,Troika,Troika,https://boardgamegeek.com/boardgame/240822/troika,240822,Troika,2017,2017,7525,5.64035,6.15866,625,0,7525,,,,,,,,,,,,Found from URL,High,Troika_2017_240822.png,2,5,"3, 4",2,20 min,1.17,Set Collection,
https://boardgamegeek.com/boardgame/319529/spukstaben # Spukstaben,Spukstaben,Spukstaben,https://boardgamegeek.com/boardgame/319529/spukstaben,319529,Spukstaben,2020,2020,8361,5.6159,6.83265,214,0,8361,,,,,,,,,,,,Found from URL,High,Spukstaben_2020_319529.jpg,1,4,3,"1, 2, 4",20 min,1.45,Cooperative Game; Spelling,Word Game
https://boardgamegeek.com/boardgame/89415/rorys-story-cubes-actions # Rory's Story Cubes: Actions,Rory's Story Cubes: Actions,Rory's Story Cubes: Actions,https://boardgamegeek.com/boardgame/89415/rorys-story-cubes-actions,89415,Rory's Story Cubes: Actions,2007,2007,5016,5.77107,6.3586,1132,0,5016,,,,,,,1567.0,,,,,Found from URL,High,Rorys Story Cubes Actions_2007_89415.jpg,1,12,,,20 min,1.19,Cooperative Game; Dice Rolling; Pattern Recognition; Storytelling,Dice
https://boardgamegeek.com/boardgame/381249/rebel-princess # Rebel Princess,Rebel Princess,Rebel Princess,https://boardgamegeek.com/boardgame/381249/rebel-princess,381249,Rebel Princess,2023,2023,1323,6.47756,7.40812,2568,0,1323,,,,,,,343.0,,,,,Found from URL,High,Rebel Princess_2023_381249.jpg,3,6,"4, 5","3, 6",30-40 min,1.88,Events; Trick-taking; Variable Player Powers,Card Game
https://boardgamegeek.com/boardgame/324885/das-neinhorn # Das NEINhorn,Das NEINhorn,Das NEINhorn,https://boardgamegeek.com/boardgame/324885/das-neinhorn,324885,Das NEINhorn,2021,2021,12808,5.54911,5.98669,275,0,12808,,,,,,,,,,,,Found from URL,High,Das NEINhorn_2021_324885.jpg,2,6,,,15 min,1.0,Pattern Recognition; Speed Matching,Animals; Card Game
https://boardgamegeek.com/boardgame/422484/king-of-tokyo-duel # King of Tokyo: Duel,King of Tokyo: Duel,King of Tokyo: Duel,https://boardgamegeek.com/boardgame/422484/king-of-tokyo-duel,422484,King of Tokyo: Duel,2024,2024,2212,6.18554,7.1307,1784,0,2212,,,,,,,656.0,,,,,Found from URL,High,King of Tokyo_ Duel_2024_422484.jpg,2,2,2,,20 min,2.11,Dice Rolling; Die Icon Resolution; Open Drafting; Re-rolling and Locking; Sudden Death Ending,Dice; Fighting; Movies / TV / Radio theme
https://boardgamegeek.com/boardgame/117995/spot-it-123 # Dobble LOL,Dobble LOL,Dobble LOL,https://boardgamegeek.com/boardgame/117995/spot-it-123,117995,"Spot it! 1,2,3",2012,2012,5533,5.73311,6.29895,1032,0,5533,,,,,,119.0,,,,,,Found from URL,High,Spot it 123_2012_117995.png,2,6,4,"2, 3, 5, 6",15 min,1.03,Pattern Recognition; Speed Matching,Animals; Card Game; Children's Game
https://boardgamegeek.com/boardgame/92415/skull # Skull,Skull,Skull,https://boardgamegeek.com/boardgame/92415/skull,92415,Skull,2011,2011,472,7.01436,7.17859,27086,0,472,,,,,,,,33.0,,,,Found from URL,High,Skull_2011_92415.jpg,3,6,"5, 6",4,15-45 min,1.12,Auction / Bidding; Bids As Wagers; Hand Management; Player Elimination; Predictive Bid,Bluffing; Card Game; Party Game
https://boardgamegeek.com/boardgame/343990/not-enough-mana # Not Enough Mana,Not Enough Mana,Not Enough Mana,https://boardgamegeek.com/boardgame/343990/not-enough-mana,343990,Not Enough Mana,2022,2022,7610,5.63577,7.56723,238,0,7610,,,,,,,,,,,,Found from URL,High,Not Enough Mana_2022_343990.jpg,3,6,,,60-120 min,1.6,Events; Hand Management; Negotiation; Player Elimination; Push Your Luck,Card Game; Fantasy; Humor
https://boardgamegeek.com/boardgame/98778/hanabi # Hanabi,Hanabi,Hanabi,https://boardgamegeek.com/boardgame/98778/hanabi,98778,Hanabi,2010,2010,581,6.9251,7.03122,51264,0,581,,,,,,,178.0,,,,,Found from URL,High,Hanabi_2010_98778.jpg,2,5,4,"2, 3, 5",25 min,1.69,Communication Limits; Cooperative Game; Hand Management; Memory; Ordering,Card Game; Deduction; Memory
https://boardgamegeek.com/boardgame/316407/allegra # Allegra,Allegra,Allegra,https://boardgamegeek.com/boardgame/316407/allegra,316407,Allegra,2020,2020,10677,5.57422,6.36909,254,0,10677,,,,,,,,,,,,Found from URL,High,Allegra_2020_316407.jpg,2,6,,,30-40 min,1.5,Auction / Bidding; Deck Construction; Highest-Lowest Scoring; Pattern Building; Semi-Cooperative Game,Card Game; Number
https://boardgamegeek.com/boardgame/387564/klink # Klink,Klink,Klink,https://boardgamegeek.com/boardgame/387564/klink,387564,Klink,2024,2024,17440,5.52371,6.0136,114,0,17440,,,,,,,,,,,,Found from URL,High,Klink_2024_387564.jpg,3,5,,,20-30 min,1.0,Push Your Luck; Set Collection; Take That,Abstract Strategy; Card Game; Number
https://boardgamegeek.com/boardgame/179280/trivial-pursuit-harry-potter-volume-1 # Trivial Pursuit: Harry Potter,Trivial Pursuit: Harry Potter,Trivial Pursuit: Harry Potter,https://boardgamegeek.com/boardgame/179280/trivial-pursuit-harry-potter-volume-1,179280,Trivial Pursuit: Harry Potter – Volume 1,2014,2014,10112,5.58153,5.95237,757,0,10112,,,,,,,,632.0,,,,Found from URL,High,Trivial Pursuit Harry Potter  Volume 1_2014_179280.jpg,2,6,,,30-60 min,1.17,Dice Rolling,Movies / TV / Radio theme; Novel-based; Trivia
https://boardgamegeek.com/boardgame/253664/taco-cat-goat-cheese-pizza # Taco Katze Ziege Käse Pizza,Taco Katze Ziege Käse Pizza,Taco Katze Ziege Käse Pizza,https://boardgamegeek.com/boardgame/253664/taco-cat-goat-cheese-pizza,253664,Taco Cat Goat Cheese Pizza,2018,2018,2255,6.18281,6.51674,7727,0,2255,,,,,,,,212.0,,,,Found from URL,High,Taco Cat Goat Cheese Pizza_2018_253664.png,2,8,"4, 5, 6","3, 7, 8",10-30 min,1.04,Interrupts; Pattern Recognition; Race; Real-Time; Speed Matching,Action / Dexterity; Card Game; Children's Game
https://boardgamegeek.com/boardgame/153065/linko # Abluxxen,Abluxxen,Abluxxen,https://boardgamegeek.com/boardgame/153065/linko,153065,Linko,2014,2014,1163,6.55628,6.99779,5655,0,1163,,,,,,,328.0,,,,,Found from URL,High,Linko_2014_153065.jpg,2,5,4,"3, 5",20 min,1.39,Hand Management; Melding and Splaying; Move Through Deck; Open Drafting; Take That,Card Game
https://boardgamegeek.com/boardgame/402205/sixto # Sixto,Sixto,Sixto,https://boardgamegeek.com/boardgame/402205/sixto,402205,Sixto,2023,2023,9910,5.58406,6.61377,199,0,9910,,,,,,,,,,,,Found from URL,High,Sixto_2023_402205.jpg,1,6,,,15 min,1.67,Dice Rolling,
https://boardgamegeek.com/boardgame/235944/schummel-hummel # Schummel Hummel,Schummel Hummel,Schummel Hummel,https://boardgamegeek.com/boardgame/235944/schummel-hummel,235944,Schummel Hummel,2017,2017,6368,5.68653,6.52956,546,0,6368,,,,,,,,387.0,,,,Found from URL,High,Schummel Hummel_2017_235944.png,3,5,5,3,20-25 min,1.25,,Card Game
https://boardgamegeek.com/boardgame/206939/do-de-li-do # Do De Li Do,Do De Li Do,Do De Li Do,https://boardgamegeek.com/boardgame/206939/do-de-li-do,206939,Do De Li Do,2016,2016,4115,5.85505,6.4993,1339,0,4115,,,,,,,,278.0,,,,Found from URL,High,Do De Li Do_2016_206939.jpg,2,6,4,"2, 3, 5, 6",10-20 min,1.09,Pattern Recognition; Speed Matching,Action / Dexterity; Animals; Card Game
https://boardgamegeek.com/boardgame/11971/cockroach-poker # Kakerlaken Poker,Kakerlaken Poker,Kakerlaken Poker,https://boardgamegeek.com/boardgame/11971/cockroach-poker,11971,Cockroach Poker,2004,2004,1063,6.6024,6.80267,15499,0,1063,,,,,,,,84.0,,,,Found from URL,High,Cockroach Poker_2004_11971.jpg,2,6,5,"3, 4, 6",20 min,1.1,Hand Management; Set Collection; Single Loser Game,Bluffing; Card Game; Party Game
https://boardgamegeek.com/boardgame/297892/dodelido-extreme # Dodelido Extreme,Dodelido Extreme,Dodelido Extreme,https://boardgamegeek.com/boardgame/297892/dodelido-extreme,297892,Dodelido Extreme,2020,2020,10971,5.56897,6.54249,169,0,10971,,,,,,,,,,,,Found from URL,High,Dodelido Extreme_2020_297892.jpg,2,6,,,20 min,1.17,Pattern Recognition,Action / Dexterity; Animals; Card Game
https://boardgamegeek.com/boardgame/943/ligretto # Ligretto,Ligretto,Ligretto,https://boardgamegeek.com/boardgame/943/ligretto,943,Ligretto,1988,1988,3603,5.92263,6.19109,5056,0,3603,,,,,,,1316.0,,,,,Found from URL,High,Ligretto_1988_943.jpg,2,4,4,3,10 min,1.17,Ordering; Pattern Building; Real-Time; Speed Matching,Card Game; Real-time
https://boardgamegeek.com/boardgame/371055/buffet-boss # Stapel Salat,Stapel Salat,Stapel Salat,https://boardgamegeek.com/boardgame/371055/buffet-boss,371055,Buffet Boss,2023,2023,8631,5.6077,6.47946,308,0,8631,,,,,,,,,,,,Found from URL,High,Buffet Boss_2023_371055.jpg,1,5,,,15-25 min,1.0,Open Drafting; Stacking and Balancing; Variable Player Powers,Action / Dexterity
https://boardgamegeek.com/boardgame/277699/a-fistful-of-meeples # Für eine Handvoll Meeple,Für eine Handvoll Meeple,Für eine Handvoll Meeple,https://boardgamegeek.com/boardgame/277699/a-fistful-of-meeples,277699,A Fistful of Meeples,2019,2019,2552,6.10854,7.08027,1474,0,2552,,,,,,,759.0,,1229.0,,,Found from URL,High,A Fistful of Meeples_2019_277699.png,2,4,3,"2, 4",30 min,1.96,"Mancala; Worker Placement; Worker Placement, Different Worker Types",American West
https://boardgamegeek.com/boardgame/257958/storiez # Storiez,Storiez,Storiez,https://boardgamegeek.com/boardgame/257958/storiez,257958,Storiez,2018,2018,22628,5.5071,5.96732,41,0,22628,,,,,,,,,,,,Found from URL,High,Storiez_2018_257958.jpg,2,5,,,,,Cooperative Game; Memory; Storytelling,Card Game
https://boardgamegeek.com/boardgame/297569/spicy-dice # Chili Dice,Chili Dice,Chili Dice,https://boardgamegeek.com/boardgame/297569/spicy-dice,297569,Spicy Dice,2018,2018,9226,5.59704,6.27652,357,0,9226,,,,,,,,,,,,Found from URL,High,Spicy Dice_2018_297569.jpg,1,4,,,30 min,1.11,Dice Rolling; Push Your Luck,Dice
https://boardgamegeek.com/boardgame/268936/llamas-unleashed # Llamas unleashed,Llamas unleashed,Llamas unleashed,https://boardgamegeek.com/boardgame/268936/llamas-unleashed,268936,Llamas Unleashed,2019,2019,8899,5.60356,6.1065,759,0,8899,,,,,,,,650.0,,,,Found from URL,High,Llamas Unleashed_2019_268936.jpg,2,8,"4, 5","2, 3, 6, 7, 8",30-45 min,1.58,Hand Management; Set Collection; Take That,Animals; Card Game; Humor
https://boardgamegeek.com/boardgame/411403/danger-danger # Danger Danger,Danger Danger,Danger Danger,https://boardgamegeek.com/boardgame/411403/danger-danger,411403,Danger Danger,2024,2024,11718,5.55981,6.84323,121,0,11718,,,,,,,,,,,,Found from URL,High,Danger Danger_2024_411403.png,2,8,,,10 min,1.17,Real-Time,Card Game
https://boardgamegeek.com/boardgame/193295/drunk-stoned-or-stupid-a-party-game # Drunk Stoned Stupid,Drunk Stoned Stupid,Drunk Stoned Stupid,https://boardgamegeek.com/boardgame/193295/drunk-stoned-or-stupid-a-party-game,193295,Drunk Stoned or Stupid: A Party Game,2014,2014,29170,5.33443,4.30134,365,0,29170,,,,,,,,932.0,,,,Found from URL,High,Drunk Stoned or Stupid A Party Game_2014_193295.jpg,4,99,,,15-30 min,1.0,,Card Game; Humor; Mature / Adult
https://boardgamegeek.com/boardgame/343990/not-enough-mana # Not enough Mana,Not enough Mana,Not enough Mana,https://boardgamegeek.com/boardgame/343990/not-enough-mana,343990,Not Enough Mana,2022,2022,7610,5.63577,7.56723,238,0,7610,,,,,,,,,,,,Found from URL,High,Not Enough Mana_2022_343990.jpg,3,6,,,60-120 min,1.6,Events; Hand Management; Negotiation; Player Elimination; Push Your Luck,Card Game; Fantasy; Humor
https://boardgamegeek.com/boardgame/172225/exploding-kittens # Exploding Kittens,Exploding Kittens,Exploding Kittens,https://boardgamegeek.com/boardgame/172225/exploding-kittens,172225,Exploding Kittens,2015,2015,3887,5.88222,6.06641,39355,0,3887,,,,,,,,573.0,,,,Found from URL,High,Exploding Kittens_2015_172225.png,2,5,"4, 5",3,15 min,1.08,Hand Management; Hot Potato; Player Elimination; Push Your Luck; Set Collection,Animals; Card Game; Comic Book / Strip
https://boardgamegeek.com/boardgame/268586/6-nimmt-25-jahre # 6 nimmt!,6 nimmt!,6 nimmt!,https://boardgamegeek.com/boardgame/268586/6-nimmt-25-jahre,268586,6 nimmt! 25 Jahre,2019,2019,1397,6.45538,7.26702,2944,0,1397,,,,,,,381.0,62.0,,,,Found from URL,High,6 nimmt 25 Jahre_2019_268586.jpg,2,10,"4, 5, 6","7, 8",45 min,1.25,Hand Management; Score-and-Reset Game; Simultaneous Action Selection,Card Game; Number
https://boardgamegeek.com/boardgame/63706/11-nimmt # 11 nimmt!,11 nimmt!,11 nimmt!,https://boardgamegeek.com/boardgame/63706/11-nimmt,63706,11 nimmt!,2010,2010,4080,5.85974,6.33143,1819,0,4080,,,,,,,1329.0,,,,,Found from URL,High,11 nimmt_2010_63706.jpg,2,7,4,"3, 5, 6",30 min,1.2,Hand Management,Card Game; Number
https://boardgamegeek.com/boardgame/266083/llama # L.A.M.A.,L.A.M.A.,L.A.M.A.,https://boardgamegeek.com/boardgame/266083/llama,266083,L.L.A.M.A.,2019,2019,1898,6.27606,6.49811,9721,0,1898,,,,,,,673.0,,,,,Found from URL,High,LLAMA_2019_266083.jpg,2,6,"4, 5","3, 6",20 min,1.06,Hand Management; Ladder Climbing; Matching; Push Your Luck,Card Game; Number
https://boardgamegeek.com/boardgame/244995/illusion # illusion,illusion,illusion,https://boardgamegeek.com/boardgame/244995/illusion,244995,Illusion,2018,2018,1682,6.34631,6.71224,5469,0,1682,,,,,,,532.0,,,,,Found from URL,High,Illusion_2018_244995.png,2,5,4,"2, 3, 5",15 min,1.05,Pattern Recognition,Card Game
https://boardgamegeek.com/boardgame/173090/the-game # The Game,The Game,The Game,https://boardgamegeek.com/boardgame/173090/the-game,173090,The Game,2015,2015,1278,6.50198,6.71518,13277,0,1278,,,,,,,432.0,,,,,Found from URL,High,The Game_2015_173090.png,1,5,3,"1, 2, 4, 5",20 min,1.24,Communication Limits; Cooperative Game; Hand Management; Solo / Solitaire Game,Card Game; Number
https://boardgamegeek.com/boardgame/328354/escape-room-blutige-spur # Escape Room: Blutige spur,Escape Room: Blutige spur,Escape Room: Blutige spur,https://boardgamegeek.com/boardgame/328354/escape-room-blutige-spur,328354,Escape Room: Blutige Spur,2020,2020,0,0.0,3.83333,15,0,,,,,,,,,,,,,Found from URL,High,Escape Room Blutige Spur_2020_328354.jpg,1,4,,,30-60 min,2.0,Cooperative Game,Deduction
https://boardgamegeek.com/boardgame/427278/roaring-20s # Roaring 20s,Roaring 20s,Roaring 20s,https://boardgamegeek.com/boardgame/427278/roaring-20s,427278,Roaring 20s,2024,2024,8419,5.61074,6.44704,304,0,8419,,,,,,,,,,,,Found from URL,High,Roaring 20s_2024_427278.jpg,3,5,,,20-30 min,1.33,Auction / Bidding; Set Collection,Card Game
https://boardgamegeek.com/boardgame/440347/linyo # Linyo,Linyo,Linyo,https://boardgamegeek.com/boardgame/440347/linyo,440347,Linyo,2025,2025,0,0.0,7.38333,12,0,,,,,,,,,,,,,Found from URL,High,Linyo_2025_440347.png,2,6,,,15-30 min,,Paper-and-Pencil; Push Your Luck,Abstract Strategy; Dice
https://boardgamegeek.com/boardgame/296335/hattu-mohrchen # Hattu Möhrchen?!,Hattu Möhrchen?!,Hattu Möhrchen?!,https://boardgamegeek.com/boardgame/296335/hattu-mohrchen,296335,Hattu Möhrchen,2015,2015,0,0.0,5.5,4,0,,,,,,,,,,,,,Found from URL,High,Hattu Möhrchen_2015_296335.jpg,2,5,,,15-20 min,1.0,Hand Management; Take That,Animals; Card Game; Number
https://boardgamegeek.com/boardgame/244992/the-mind # The Mind,The Mind,The Mind,https://boardgamegeek.com/boardgame/244992/the-mind,244992,The Mind,2018,2018,1058,6.6074,6.73206,35540,0,1058,,,,,,,372.0,86.0,,,,Found from URL,High,The Mind_2018_244992.png,2,4,4,"2, 3",20 min,1.08,Communication Limits; Cooperative Game; Hand Management,Card Game; Number
https://boardgamegeek.com/boardgame/400205/5-towers # 5 Towers,5 Towers,5 Towers,https://boardgamegeek.com/boardgame/400205/5-towers,400205,5 Towers,2023,2023,2407,6.14083,6.74439,2547,0,2407,,,,,,,751.0,,,,,Found from URL,High,5 Towers_2023_400205.png,2,5,4,"2, 3, 5",15-30 min,1.25,Auction / Bidding; Auction: Once Around; Open Drafting; Set Collection; Turn Order: Progressive,Card Game
https://boardgamegeek.com/boardgame/20750/black-stories-2 # Black Stories 2,Black Stories 2,Black Stories 2,https://boardgamegeek.com/boardgame/20750/black-stories-2,20750,Black Stories 2,2005,2005,5534,5.73304,6.15665,1413,0,5534,,,,,,,,405.0,,,,Found from URL,High,Black Stories 2_2005_20750.jpg,2,15,"5, 6","3, 4, 7, 8",20 min,1.21,Storytelling,Card Game; Deduction; Horror
https://boardgamegeek.com/boardgame/1465/wizard # Wizard,Wizard,Wizard,https://boardgamegeek.com/boardgame/1465/wizard,1465,Wizard,1984,1984,858,6.72091,6.99102,12892,0,858,,,,,,,259.0,,,,,Found from URL,High,Wizard_1984_1465.jpg,3,6,"4, 5","3, 6",45 min,1.7,Betting and Bluffing; Hand Management; Predictive Bid; Trick-taking,Card Game; Fantasy
https://boardgamegeek.com/boardgame/277458/kluster # Kluster,Kluster,Kluster,https://boardgamegeek.com/boardgame/277458/kluster,277458,Kluster,2018,2018,2352,6.15374,6.58179,3905,0,2352,,,,,,,789.0,,,,,Found from URL,High,Kluster_2018_277458.jpg,1,4,3,"2, 4",10-20 min,1.01,Area Majority / Influence,Abstract Strategy; Action / Dexterity; Party Game
https://boardgamegeek.com/boardgame/270314/ohanami # Ohanami,Ohanami,Ohanami,https://boardgamegeek.com/boardgame/270314/ohanami,270314,Ohanami,2019,2019,964,6.65725,7.27274,4499,0,964,,,,,,,236.0,,,,,Found from URL,High,Ohanami_2019_270314.png,2,4,3,"2, 4",20 min,1.16,Closed Drafting; Ordering; Set Collection,Card Game; Number
